PT	DT	AU	AA	ED	CA	SP	PN	AE	TI	FT	SO	LA	LS	U1	U2	AB	C1	RI	OI	PA	SC	PI	SS	ID	CN	PY	VL	IS	BP	EP	SN	BN	NR	PG	DI	OA	HC	HP	DA	UT
J		Andrade, G. C.; Andrade, R. P.; Oliveira, D. R.; Quintanilha, M. F.; Martins, F. S.; Duarte, W. F.							Kluyveromyces lactis and Torulaspora delbrueckii: Probiotic characterization, anti-Salmonella effect, and impact on cheese quality.		LWT -- Food Science and Technology					Cheese presents remarkable diversity and organoleptic richness favored by microbial communities. Different yeasts have already been reported as contributors to cheese characteristics. In this study we aimed to characterize K. lactis B10 and T. delbrueckii B14 probiotic potential and to evaluate their impact on cheese. Yeasts were subjected to hemolysis, mucin degradation, co-aggregation with pathogens, in vivo survival, and antagonism to salmonellosis. Cheeses were produced with pasteurized milk coagulated using commercial rennet. Cheeses were evaluated for texture profile and sensory acceptance up to 40 days of maturation. Both yeasts presented higher co-aggregation to Salmonella than Saccharomyces boulardii. Although both yeasts satisfactorily survived the passage through the gastrointestinal tract, only K. lactis B10 resulted in high survival rate (90%) of mice against salmonellosis. Cheese produced with yeasts on the surface presented no eyes formation, while yeasts inoculated in the mass increased eyes formation. At 21 days of maturation yeasts inoculated in the mass resulted in lower hardness (1787.91), gumminess (1528.70) and chewiness (1339.63). Taste and purchase intention were higher for the cheese produced with yeasts inoculated in the mass. For all maturation times evaluated, most of the tasters expressed a preference for the cheese produced with yeasts inoculation in the mass. All rights reserved, Elsevier.										2021	151				0023-6438				10.1016/j.lwt.2021.112240					FSTA:2021-12-Pj6905
J		Andrade, J.; Rousseau, D.							Whipping properties of recombined, additive-free creams.		Journal of Dairy Science					There is increasing industrial interest in the use of the milkfat globule membrane as a food ingredient. The objective of this research was to determine whether the aerosol whipping performance of cream separated into butter and buttermilk, and then recombined, would perform in a manner similar to untreated cream. Churning of cream tempered to different solid fat contents was used to separate butter from buttermilk, which were then recombined at the same ratios as the initial extraction yield, or with 25% extra buttermilk. Differences in milkfat globule size distributions among the recombined creams were apparent; however, their whipping behavior and overrun were similar. Importantly, all recombined creams did not yield properties similar to the original cream, indicating that the unique native milkfat globule membrane structure plays a role in cream performance well beyond its simple presence. All rights reserved, Elsevier.		Andrade, Jonathan/U-4300-2017	Andrade, Jonathan/0000-0001-7711-5306							2021	104	6	6487	6495	0022-0302				10.3168/jds.2020-19623					FSTA:2021-09-Pg4759
J		Andrade, J. K. S.; Barros, R. G. C.; Rezende, Y. R. R. S.; Nogueira, J. P.; Oliveira, C. S. de; Gualberto, N. C.; Narain, N.							Evaluation of bioactive compounds, phytochemicals profile and antioxidant potential of the aqueous and ethanolic extracts of some traditional fruit tree leaves used in Brazilian folk medicine.		Food Research International					The aim of this study was to analyze eight selected species of leaves, used in the traditional medicine of the Northeast region of Brazil obtained from several fruit trees (grageru, soursop, jambolanum, passion fruit, insulin, nogueira, pedra ume kaa and stevia), regarding their polyphenols contents and antioxidant activity. Condensed and hydrolysable tannins, phenolics and flavonoids contents were determined and the antioxidant activities measured by ABTS, FRAP and ORAC assays. Organic acids were analyzed by HPLC-DAD system. Phenolic compounds of aqueous and ethanolic extracts were determined by UHPLC-DAD-MS. The results revealed high contents of total phenolics (13.340.19-127.650.21 mg. G-1 of GAE: QE (2:1) of sample) and flavonoids (12.300.42-71.790.00 mg.g-1 QE of sample). The ABTS results exhibited extraordinary activity in the extracts (74.486.23-1487.332.67 mol Trolox.g-1 of sample). Acids quinic, tartaric, citric, gallic, chlorogenic, p-coumaric, ferulic and vanillic along with naringenin, rutin, vanillin, catechin, epicatechin, kaempferol were the most important compounds. Thus, these leaves extracts may be considered as sources of phenolics compounds having a high potential as natural antioxidants. In addition, the polyphenols present in these leaves have many beneficial effects and can also be used in medicinal and nutraceuticals products with enhanced bioactivities. All rights reserved, Elsevier.		Andrade, Julianna Karla Santana/ABD-9301-2021	Santana Andrade, Julianna Karla/0000-0002-9947-8631							2021	143				0963-9969				10.1016/j.foodres.2021.110282					FSTA:2021-09-Jg11822
J		Andrade, P. M. L.; Baptista, L.; Bezerra, C. O.; Peralta, R. M.; Goes-Neto, A.; Uetanabaro, A. P. T.; Costa, A. M. da							Immobilization and characterization of tannase from Penicillium rolfsii CCMB 714 and its efficiency in apple juice clarification.		Journal of Food Measurement and Characterization					In the present study a newly tannase enzyme from Penicillium rolfsii CCMB 714 was immobilized on calcium alginate and its efficiency in clarifying juice was analyzed. The efficiency of immobilization was 99.5% and the enzyme maintained an activity above 50% after 6 cycles of reuse. Immobilization of tannase enzyme changed the optimum temperature from 33 to 44 °C, and the optimum pH from 4.0 to 4.3. The immobilized tannase enzyme showed greater thermal and pH stability when compared to the free form, maintaining 80% of its activity at 50 °C and more than 50% of residual activity at all pH tested for up to 16 h. The immobilized enzyme was also resistant to almost all additives used (cations, SDS and EDTA). When tested in apple juice, the immobilized tannase efficiently clarified the juice showing the reduction of more than 70% in turbidity. Such results showing that the P. rolfsii CCMB 714 immobilized tannase was suitable to clarify apple juice and have a potential for future beverage industrial application mainly in juice processing. © Springer Science+Business Media, LLC, part of Springer Nature 2020.		Goes-Neto, Aristoteles/A-6955-2013; PERALTA, ROSANE MARINA/J-3912-2016	Goes-Neto, Aristoteles/0000-0002-7692-6243; PERALTA, ROSANE MARINA/0000-0001-5749-0723; Costa, Andrea Miura da/0000-0003-2823-1305; Uetanabaro, Ana Paula/0000-0003-3992-8474							2021	15	2	1005	1013	2193-4134				10.1007/s11694-020-00705-9					FSTA:2021-10-Hq9515
J		Andre, S.; Charton, A.; Pons, A.; Vannier, C.; Couvert, O.							Viability of bacterial spores surviving heat-treatment is lost by further incubation at temperature and pH not suitable for growth.		Food Microbiology					Spores from 21 strains from different genera were heat-treated and stored in different sets of process conditions (4 temperatures and 3 pH levels) defined to prevent growth. In these conditions, spores surviving the heat treatment progressively lost viability during storage. Different inactivation curve shapes (linear, shoulder and tailing) and different sensitivities to storage were observed. B. coagulans showed the fastest inactivation kinetics, with more than 4-log reduction of spore population within 24 h after heating and G. stearothermophilus displayed slower inactivation kinetics, whereas all the anaerobic strains studied (M. thermoacetica and Thermoanaerobacterium spp.) proved resistant to storage conditions, with no destruction detected during 90 days in most cases. Inactivation rates were relatively unaffected by sub-lethal pH but sharply accelerated by temperature: Inactivation became faster as temperature increased (in the 8 °C-55 °C temperature range), with growth blocked by low pH in sub-lethal temperatures. There were changes in surviving spore numbers after the heat-treatment phase. This has implications and applications in canned food industries, as the probability of a retorted sample testing as non-stable, meaning possible spoilage, may decrease with time. In simple terms, a batch of low-acid canned food that tests as non-shelf-stable after an incubation test i.e. positive growth conditions, may later become negative if stored at room temperature (below the minimal growth temperature for thermophilic spores), which may change the marketability of the batch. All rights reserved, Elsevier.			Andre, Stephane/0000-0002-2667-6709							2021	95				0740-0020				10.1016/j.fm.2020.103690					FSTA:2021-04-Cd1275
J		Andreani, E. S.; Mingqin Li; Ronholm, J.; Karboune, S.							Feruloylation of polysaccharides from cranberry and characterization of their prebiotic properties.		Food Bioscience					Humicola insolens feruloyl esterase was immobilized on chemically modified epoxy-activated supports of different pore sizes. Native and immobilized feruloyl esterases were investigated for their esterification activity on raffinose in surfactantless microemulsions. Pectic polysaccharides, obtained from cranberry pomace using chelating agent (CH) and diluted alkaline (DA) extractions, were then esterified at the optimized conditions. Using CH polysaccharide extract as a substrate, immobilized feruloyl esterase led to higher feruloylation (22.1-26.6%) than the free enzyme (4.2%), and yielded polysaccharides with a higher increase in the total phenolic content. Free and immobilized feruloyl esterases acted similarly in the feruloylation of polysaccharides present in the DA extract, identified as being rich in rhamnogalacturonan I neutral branches. The prebiotic activity score showed that cranberry pectic polysaccharides were better fermented than inulin and generated abundant propionic acid. Increased feruloylation of cranberry polysaccharides had a negative impact on the growth of Lactobacillus brevis and Bifidobacterium longum strains. The total short chain fatty acid concentration showed that the presence of feruloylation affected DA polysaccharides more than CH ones. This showed the importance of controlling the feruloylation extent as a compromise between the prebiotic and the antioxidant properties. All rights reserved, Elsevier.										2021	42				2212-4292				10.1016/j.fbio.2021.101071					FSTA:2021-12-Jf16402
J		Andreassen, H.; Gjerald, O.; Hansen, K. V.							"The good, the bad, and the minimum tolerable": exploring expectations of institutional food.		Foods					There is a tendency towards greater expectations of consumer goods and services in society-what was once judged as ideal may now be a bare minimum. This presents a challenge for food providers in the upcoming decades. As the more demanding baby boomer cohort ages, health institutions of the future will face challenges meeting their food expectations. The purpose of this study was to explore expectation type dynamics and function with updated empirical material on aging consumers expectations of institutional food and advance our current understanding of how consumers evaluate their expectations. This qualitative study employed in-depth semi structured interviews with 14 informants between the age of 58-79. Content analysis was performed to capture the informants' food expectations based on the expectation hierarchy proposed by Santos and Boote. Analyzing the content and relationship between different expectation types led to three main findings: expectation functions and content, interconnectedness, and the role of affect. Based on the findings, this study contributes by making several propositions for future research and proposes an updated expectancy-disconfirmation model. Importantly, this study provides novel knowledge that can help health institutions understand and meet aging consumers expectations of institutional food. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.			Gjerald, Olga/0000-0001-8026-4898; Andreassen, Hanne/0000-0001-6983-5530; Myrnes-Hansen, Kai Victor/0000-0002-1017-2290							2021	10	4			2304-8158				10.3390/foods10040767					FSTA:2021-10-Ag14997
J		Andreen, D. M.; Haan, M. M.; Dechow, C. D.; Harvatine, K. J.							Determination of relationships between rumination and milk fat concentration and fatty acid profile using data from commercial rumination sensing systems.		Journal of Dairy Science					Milk fat production is highly influenced by nutrition and rumen fermentation. Rumination is an essential part of the ruminant digestive process and can serve as an indicator of rumen fermentation. The objective of this research was to quantify variation in rumination time between and within dairy herds and test for relationships between rumination time and milk fat production and fatty acid (FA) profile as a proxy of rumen fermentation. Our hypothesis was that rumination may indicate disruptions to rumen fermentation and that cows that spent less time ruminating would have lower milk fat due to these rumen disruptions. Data were collected from 1,733 Holstein cows on 5 commercial dairy farms (4 in Pennsylvania and 1 in New York) of 200 to 700 head using 1 of 2 commercially-available rumination sensing systems, CowManager SensOor ear tags (Agis Automatisering BV) or SCR model HR-LDn neck collars (SCR Engineers). Rumination data were collected for 7 consecutive days leading up to a DHIA test, summed within day, then averaged to obtain mean daily minutes of rumination time. Milk samples from the DHIA test were analyzed for fat content by mid-infrared spectroscopy and for milk FA profile by gas chromatography. Rumination data were analyzed using multiple linear regression models. Rumination time was related to concentration of specific odd- and branched-chain and trans FA in milk but was not directly related to milk fat concentration. Rumination time also did not contribute to models predicting milk fat concentration after accounting for other cow-level variables. There was a linear relationship between trans-10 C18:1 and rumination time that was positive after accounting for the effect of farm (partial R2 of 2.97% across all data, 4.24% in SCR data, and 2.22% in CowManager data). Although rumination time was not related directly to milk fat, it was associated with differences in trans and odd- and branched-chain FA that have been demonstrated to change during subacute ruminal acidosis or biohydrogenation-induced milk fat depression, which may affect milk fat and other production variables. These associations suggest that further investigation into using rumination data from commercial systems to predict or identify the presence of these conditions is warranted. All rights reserved, Elsevier.			Harvatine, Kevin/0000-0001-6422-2647; Andreen, Danielle/0000-0002-2848-126X; Haan, Mathew/0000-0002-8300-7528							2021	104	8	8901	8917	0022-0302				10.3168/jds.2020-19860					FSTA:2021-11-Pe6127
J		Andreou, V.; Dimopoulos, G.; Tsonas, T.; Katsimichas, A.; Limnaios, A.; Katsaros, G.; Taoukis, P.							Pulsed electric fields-assisted drying and frying of fresh zucchini.		Food and Bioprocess Technology					The objective of this work was to evaluate the potential of Pulsed Electric Field application on the enhancement of air-drying and frying kinetics of zucchini in terms of quality of final zucchini products. PEF-caused electroporation could enhance drying process, facilitating moisture removal with reduced energy consumption, or soften the surface, leading to fried products with reduced oil content. Fresh whole zucchinis (Cucurbita pepo) were PEF treated at 0.5-1.5 kV cm-1 electric field strength for up to 0.5 s, achieving a cell disintegration index in the range of 0.12 to 0.77 (0.5-110 kJ kg-1). Drying experiments of zucchini slices were carried out at mild drying temperatures 40-70 °C. The moisture diffusion coefficients Deff of all studied samples were compared. Deep frying of untreated and PEF treated (1.5 kV cm-1, 500 pulses, Z equal to 0.6, PEF energy input 8.2 kJ kg-1) zucchini slices was carried out at temperatures 150-170 °C for 0-12 min. Water loss, oil uptake and browning index were determined for all studied samples. The obtained results indicate a potential benefit of PEF on drying rates of zucchini tissues. At low drying temperatures, PEF treated samples increased the effective moisture diffusivity Deff up to 35%, reducing the corresponding drying time up to 25 min and leading to energy savings of 169 MJ kg-1 compared to the untreated sample. In addition, PEF treatment led to final fried zucchinis with reduced oil content up to 36% compared to untreated samples while maintaining the same levels of desirable brown color. ©The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2021.			Andreou, Varvara/0000-0001-8614-0853; Dimopoulos, George/0000-0003-3469-5472; Limnaios, Athanasios/0000-0002-2857-2583							2021	14	11	2091	2106	1935-5149				10.1007/s11947-021-02705-z					FSTA:2022-03-Jq3320
J		Andreou, V.; Thanou, I.; Giannoglou, M.; Giannakourou, M. C.; Katsaros, G.							Dried figs quality improvement and process energy savings by combinatory application of osmotic pretreatment and conventional air drying.		Foods					This study concerns the implementation of osmotic dehydration (OD) as a pre-treatment of air-drying in fig halves, aiming at drying acceleration, energy savings and product quality improvement. The effect of solid/liquid mass ratio, process temperature (25-45°C) and duration (up to 300 min) on water activity (aw) and transport phenomena during OD, was modelled. The effective diffusion coefficients, drying time and energy consumption, were also calculated during air-drying at 50-70°C. At optimum OD conditions (90 min, 45°C), the highest water loss and solid gain ratio were achieved, while the aw (equal to an initial value 0.986) was decreased to 0.929. Air-drying time of OD-and control samples was estimated at 12 and 21 h, at 60°C, respectively, decreasing the required energy by up to 31.1%. Quality of dried figs was systematically monitored during storage. OD-assisted air-drying led to a product of improved quality and extended shelf-life. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.			Katsaros, George/0000-0002-0090-2966; Giannoglou, Marianna/0000-0002-7633-8046; Giannakourou, Maria/0000-0002-3625-2950; Andreou, Varvara/0000-0001-8614-0853							2021	10	8			2304-8158				10.3390/foods10081846					FSTA:2022-07-Jg8397
